8.46292	0.243462	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0
8.44818	0.251553	-1.99579e-11	1.09554e-11	8.44818	0.251553	8.45	0.25	-3.00027	0
8.44838	0.238576	0.00315195	-0.259268	8.56759	0.241943	8.45	0.25	0	0
8.45582	0.253898	0.0176783	0.0232732	8.45582	0.253997	8.45	0.25	0	0
7.80303	0.228623	-1.70166	-0.144738	8.42544	0.254042	8.35	0.25	-1.81979	0
7.76723	0.232582	-1.60832	-0.088819	8.23962	0.24916	8.25	0.25	-1.81978	0
7.40954	0.224952	-3.04564	-0.122725	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.31358	0.17227	-2.97453	-0.276742	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.18466	0.161265	-3.09857	-0.271472	7.61269	0.155818	7.7	0.15	-2.99982	0
7.07449	0.148718	-3.04835	-0.269216	7.54016	0.159641	7.55	0.15	-2.99982	0
7.03021	0.127949	-2.26815	-0.274339	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
6.943	0.0729477	-2.22229	-0.363702	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
6.81704	0.0575807	-2.57581	-0.353727	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
6.70701	-0.00228908	-2.53664	-0.438753	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.63425	-0.038364	-1.9546	-0.471268	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.55287	-0.142278	-1.92422	-0.635085	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.46654	-0.175117	-1.98729	-0.633041	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.38732	-0.301873	-1.97089	-0.836789	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.37598	-0.380326	-1.25977	-0.967878	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.32898	-0.506801	-1.25088	-1.13828	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.31639	-0.60347	-0.74594	-1.27039	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
